Course Code, Slot, Venue, Course Title, Instructor
CS 101, ?, –, Computer Programming and Utilization
CS 152, 4, –
CS 154, L3, –
CS 213 M, 5
CS 218, Instructor, Course Code, Slot, Room, Course Title, Instructor, Prof. Parag Chaudhuri
CS 684, 9, CC101, Embedded Systems, Prof. K. Arya, Abstractions and Paradigms for Programming, Prof. Joshi Rushikesh K.
CS 719, 2, SIC205, Topics in Mathematical Foundations of Formal, Verifications, Prof. Bharat Adsul, Programming Paradigms Laboratory, Prof. Joshi Rushikesh K.
CS 726, 9, SIC301, Advanced Machine Learning, Prof. S. Sarawagi, LA201, Data Structures and Algorithms, Prof. Sohoni Milind
CS 728, 8, CC105, Organization of Web Information, Prof. Chakrabarti Soumen, 6, LA202, Design and Analysis of Algorithms, Prof. Mrinal Kumar
CS 736, 8, LH101, Medical Image Computing, Prof. Suyash P. Awate
CS 224, 3, —, Computer Networks, Prof. Kameswari Chebrolu
CS 741, 8, CC103, Advanced Network Security and Cryptography, Prof. B. L. Menezes
CS 228, 1, LA202, Logic for Computer Science, Prof. Krishna S.
CS 743, 3, CC103, Wireless Networks, Prof. Bhaskar Raman
CS 230, 2, LA202, Digital Logic Design and Computer Architecture, Prof. Virendra Singh
CS 748, 13, LT106, Advances in Intelligent and Learning Agents, Prof. Shivaram Kalyanakrishnan
CS 232, LX, –, Digital Logic Design and Computer Architecture Lab, Prof. Virendra Singh
CS 752, 6, LH101, System Dynamics: Modeling & Simulation for, Development, Prof. Om P. Damani
CS 252, L4, –, Computer Networks Lab, Prof. Kameswari Chebrolu
CS 753, 14, LA001, Automatic Speech Recognition, Prof. Preethi Jyothi
CS 302, 6, LH102, Implementation of Programming Languages, Prof. Uday Khedkar
CS 754, 14, CC103, Advanced Image Processing, Prof. Ajit V. Rajwade
CS 310, 3, LA101, Automata Theory, Prof. Sivakumar G.
CS 758, 10, SIC205, Advanced Tools from Modern Cryptography, Prof. Manoj Prabhakaran
CS 316, LX, –, Implementation of Programming Languages Lab, Prof. Uday Khedkar
CS 762, 1, SEMINAR HALL ?, Advanced Blockchain Technology, Prof. Vinay J. Ribeiro
CS 317, 2, LA002, Database and Information Systems, Prof.Sudarshan S.
CS 763, 11, CC103, Computer Vision, Prof. Sharat Chandran
CS 347 M, 5, LA002, Operating Systems, Prof. Mythili Vutukuru
CS 764, L4, –, Computer Vision Lab, Prof. Sharat Chandran
CS 387, L2, –, Database and Information Systems Lab, Prof. Sudarshan S.
CS 766, 15, CC103, Analysis of Concurrent Programs​, Prof. Krishna S.
CS 408, 4, SIC205, Graph Theory, Prof. Ranade A.
CS 769, 8, LC102, Optimization in Machine Learning, Prof. G.Ramakrishnan
CS 419 M, 5, LA202, Introducing to Machine Learning, Prof. Abir De
CS 772, 1, LA201, Deep Learning for Natural Language Processing, Prof. Bhattacharya P.
CS 467, 1, SIC205, Functional and Logic Programming, Prof. Sivakumar G.
CS 773, 9, CC103, Computer Architecture for Performance and Security, Prof. Biswabandan Panda
CS 602, 12, CC103, Applied Algorithms, Prof. Rohit Gurjar
CS 779, 9, SIC205, Extremal Combinatorics, Prof. Vishwanathan Sundar
CS 613, 8, SIC205, Design & Implementation of Functional Programming, Languages, Prof. Sanyal Amitabh
CS 781, 14, —, Formal Methods in Machine Learning, Prof. Supratik Chakraborty
CS 681, 8, CC101, Performance Analysis of Computer Systems and Network, Prof. Varsha Apte
